date,estate,phase,block,floor,flat,rooms,price_wan,net_area_sqft,net_unit_price,change,source
2026-04-30,聽濤雅苑,2期,8座,高層,D室,3房,973,755,12887,–,中原集團
2026-04-30,聽濤雅苑,1期,9座,低層,E室,3房,800,733,10914,–,中原集團
2026-04-29,聽濤雅苑,2期,8座,32樓,B室,3房,800,745,10738,+66%,土地詳冊
2026-04-24,聽濤雅苑,2期,6座,中層,A室,3房,840,733,11460,–,中原集團
2026-04-23,聽濤雅苑,1期,9座,9樓,C室,3房,926.8,788,11761,-2%,土地詳冊
2026-04-20,聽濤雅苑,1期,3座,29樓,A室,3房,1060,788,13452,+93%,土地詳冊
2026-03-27,聽濤雅苑,1期,11座,12樓,B室,3房,928,794,11688,-4%,土地詳冊
2026-03-26,聽濤雅苑,1期,3座,11樓,C室,3房,878,755,11629,+46%,土地詳冊
2026-03-24,聽濤雅苑,1期,2座,8樓,C室,3房,910,755,12053,+160%,土地詳冊
2026-03-20,聽濤雅苑,1期,1座,26樓,B室,3房,1235,1025,12049,+65%,土地詳冊
2026-03-09,聽濤雅苑,1期,11座,8樓,H室,3房,980,815,12025,-2%,土地詳冊
2026-02-27,聽濤雅苑,1期,11座,低層,B室,3房,780,794,9824,–,中原集團
2026-02-20,聽濤雅苑,1期,2座,6樓,H室,3房,855,760,11250,-9%,土地詳冊
2026-02-09,聽濤雅苑,1期,1座,26樓,D室,3房,980,870,11264,+143%,土地詳冊
2026-02-04,聽濤雅苑,1期,3座,18樓,G室,3房,900,788,11421,-7%,土地詳冊
2026-02-03,聽濤雅苑,1期,9座,11樓,D室,3房,856,788,10863,+104%,土地詳冊
2026-02-02,聽濤雅苑,1期,2座,11樓,H室,3房,835,788,10596,+126%,土地詳冊
2026-01-29,聽濤雅苑,1期,11座,11樓,F室,3房,897,788,11383,-8%,土地詳冊
2026-01-28,聽濤雅苑,2期,8座,23樓,D室,3房,860,755,11391,+141%,土地詳冊
2026-01-21,聽濤雅苑,1期,9座,29樓,D室,3房,863,788,10952,+86%,土地詳冊
2026-01-12,聽濤雅苑,2期,5座,35樓,A室,3房,798,788,10127,+31%,土地詳冊
2026-01-06,聽濤雅苑,2期,6座,6樓,A室,3房,810,710,11408,+139%,土地詳冊
2025-12-17,聽濤雅苑,1期,11座,6樓,G室,3房,800,784,10204,-1%,土地詳冊
2025-12-11,聽濤雅苑,2期,4座,16樓,E室,3房,783,733,10682,+167%,土地詳冊
2025-12-05,聽濤雅苑,2期,8座,17樓,B室,3房,755,745,10134,-24%,土地詳冊
2025-12-04,聽濤雅苑,2期,7座,8樓,F室,3房,890,733,12142,+8%,土地詳冊
2025-12-03,聽濤雅苑,1期,3座,3樓,D室,3房,715,710,10070,+123%,土地詳冊
2025-11-21,聽濤雅苑,1期,1座,10樓,E室,3房,1155,1025,11268,-8%,土地詳冊
2025-11-19,聽濤雅苑,1期,9座,15樓,E室,3房,800,745,10738,-26%,土地詳冊
2025-10-27,聽濤雅苑,1期,9座,26樓,C室,3房,838,788,10635,+199%,土地詳冊
2025-10-24,聽濤雅苑,1期,3座,3樓,E室,3房,718,710,10113,+124%,土地詳冊
2025-10-20,聽濤雅苑,2期,4座,22樓,C室,3房,828,755,10967,+57%,土地詳冊
2025-10-08,聽濤雅苑,1期,3座,23樓,E室,3房,798,733,10887,+131%,土地詳冊
2025-10-03,聽濤雅苑,1期,11座,29樓,B室,3房,998,794,12569,+98%,土地詳冊
